Species;season;year;environm;TS;environm2
Rr;cold;2017;Urban;4.666666667;1
Rr;warm;2017;Urban;0;1
Rr;warm;2018;Urban;4;1
Rr;cold;2018;Urban;8.403361345;1
Rr;cold;2018;Urban;0;1
Rr;warm;2018;Urban;0;1
Rr;cold;2019;Urban;0;1
Rr;warm;2019;Urban;0;1
Rr;warm;2020;Urban;0;1
Mm;cold;2017;Urban;1.333333333;1
Mm;warm;2017;Urban;0;1
Mm;warm;2018;Urban;0;1
Mm;cold;2018;Urban;0;1
Mm;cold;2018;Urban;0;1
Mm;warm;2018;Urban;0;1
Mm;cold;2019;Urban;4;1
Mm;warm;2019;Urban;0;1
Mm;warm;2020;Urban;0;1
Am;cold;2017;Urban;0;1
Am;warm;2017;Urban;0;1
Am;warm;2018;Urban;0;1
Am;cold;2018;Urban;0;1
Am;cold;2018;Urban;0;1
Am;warm;2018;Urban;0;1
Am;cold;2019;Urban;0;1
Am;warm;2019;Urban;0;1
Am;warm;2020;Urban;0;1
Rr;cold;2017;Periurban;3.333333333;2
Rr;warm;2017;Periurban;0.588235294;2
Rr;warm;2018;Periurban;0;2
Rr;cold;2018;Periurban;1.754385965;2
Rr;cold;2018;Periurban;9.230769231;2
Rr;warm;2018;Periurban;2.222222222;2
Rr;cold;2019;Periurban;3.571428571;2
Rr;cold;2019;Periurban;0.666666667;2
Rr;warm;2019;Periurban;0;2
Rr;warm;2020;Periurban;0;2
Mm;cold;2017;Periurban;4;2
Mm;warm;2017;Periurban;0;2
Mm;warm;2018;Periurban;0;2
Mm;cold;2018;Periurban;1;2
Mm;cold;2018;Periurban;0;2
Mm;warm;2018;Periurban;1.111111111;2
Mm;cold;2019;Periurban;8.571428571;2
Mm;cold;2019;Periurban;0;2
Mm;warm;2019;Periurban;1.428571429;2
Mm;warm;2020;Periurban;2.666666667;2
Am;cold;2017;Periurban;1.333333333;2
Am;warm;2017;Periurban;0;2
Am;warm;2018;Periurban;0;2
Am;cold;2018;Periurban;0;2
Am;cold;2018;Periurban;0;2
Am;warm;2018;Periurban;1.111111111;2
Am;cold;2019;Periurban;0;2
Am;cold;2019;Periurban;0;2
Am;warm;2019;Periurban;4.285714286;2
Am;warm;2020;Periurban;2.666666667;2
